,,,State,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,
2012,64,27,Montana,63.50%,62.50%,61.60%,"491,966",484048,774459,"785,454",0.90%,"3,609",0,0,"3,609",
2012,35,28,Nebraska,61.10%,60.30%,56.90%,"804,245",794379,1316676,"1,396,507",4.70%,"4,705","14,260","1,383","13,646",
2012,65,29,Nevada,56.50%,56.40%,48.20%,"1,016,664",1014918,1800969,"2,105,976",13.30%,"12,883","11,321","5,379","24,262",
2012,4,30,New Hampshire,70.90%,70.20%,67.80%,"718,700",710972,1013302,"1,047,978",3.00%,"2,790",0,0,"2,790",
2012,12,31,New Jersey,62.30%,61.50%,53.20%,"3,683,638",3640292,5916716,"6,847,503",12.10%,"23,225","114,886","14,987","99,102",
2012,66,32,New Mexico,54.80%,54.60%,49.80%,"786,522",783757,1436189,"1,573,400",7.30%,"6,727","21,381","5,078","23,137",
2012,13,33,New York,53.50%,53.10%,46.10%,"7,128,852",7074723,13319786,"15,344,671",12.50%,"54,210",0,"46,222","100,432",
2012,47,34,North Carolina,65.40%,64.90%,60.10%,"4,542,488",4505372,6946385,"7,496,980",6.10%,"37,136","96,070","4,359","92,412",
2012,36,35,North Dakota,60.40%,59.80%,58.70%,"325,564",322627,539152,"549,955",1.70%,"1,512",0,0,"1,512",
2012,24,36,Ohio,65.10%,64.50%,62.70%,"5,632,423",5580822,8648932,"8,896,930",2.20%,"50,876",0,0,"50,876",
2012,53,37,Oklahoma,,49.20%,46.30%,,1334872,2713268,"2,885,093",4.50%,"25,225","25,506","2,310","41,053",
2012,72,38,Oregon,64.20%,63.10%,58.70%,"1,820,507",1789270,2834868,"3,050,747",6.60%,"14,840",0,0,"14,840",
2012,14,39,Pennsylvania,,59.50%,57.20%,,5742040,9650361,"10,037,099",3.30%,"51,125",0,0,"51,125",
2012,5,40,Rhode Island,,58.00%,53.40%,,446049,768849,"834,983",7.50%,"3,318",0,0,"3,318",
2012,48,41,South Carolina,56.80%,56.30%,53.60%,"1,981,516",1964118,3486345,"3,662,322",3.50%,"22,388","34,945","6,116","47,025",
2012,37,42,South Dakota,60.10%,59.30%,57.60%,"368,270",363815,613114,"631,472",1.90%,"3,650",0,"2,761","6,411",
2012,54,43,Tennessee,52.30%,51.90%,49.40%,"2,478,870",2458577,4735808,"4,976,284",3.30%,"28,411","64,430","13,138","75,697",
2012,49,44,Texas,,49.60%,41.70%,,7993851,16111165,"19,185,395",13.50%,"166,372","405,473","112,288","493,561",
2012,67,45,Utah,56.10%,55.50%,51.40%,"1,028,786",1017440,1832988,"1,978,956",7.00%,"6,962",0,0,"6,962",
2012,6,46,Vermont,61.20%,60.70%,59.60%,"301,793",299290,493355,"502,242",1.80%,0,0,0,0,
2012,40,47,Virginia,66.60%,66.10%,60.70%,"3,888,186",3854489,5834057,"6,348,827",7.10%,"37,044","52,956","1,983","67,094",
2012,73,48,Washington,65.80%,64.80%,58.60%,"3,172,939",3125516,4821144,"5,329,782",8.20%,"17,271","88,339","8,895","72,986",
2012,56,49,West Virginia,,46.30%,45.50%,,670438,1447048,"1,472,642",0.80%,"7,070","8,573","2,052","13,666",
2012,25,50,Wisconsin,,72.90%,69.50%,,3068434,4208757,"4,417,273",3.20%,"22,600","46,328","20,023","67,177",
2012,68,51,Wyoming,59.00%,58.60%,56.40%,"250,701",249061,425101,"441,726",2.50%,"2,204","5,162",762,"5,702",
2010,0,0,United States,41.80%,40.90%,37.80%,"90,912,015",89099476,217647046,"236,022,989",8.50%,"1,608,162","1,321,051","629,644","3,244,035","4,972,217"
2010,41,1,Alabama,43.30%,43.00%,40.80%,"1,503,232",1494273,3472759,"3,661,784",2.80%,"31,764","50,622","9,006","86,889",
2010,81,2,Alaska,52.90%,51.90%,48.50%,"261,128",256192,493785,"528,744",4.00%,"5,597","6,959","2,089","13,601",
2010,61,3,Arizona,41.50%,41.00%,35.90%,"1,750,840",1727791,4214306,"4,807,398",10.30%,"40,130","52,316","7,993","96,443",
2010,42,4,Arkansas,37.90%,37.50%,35.30%,"789,773",781333,2081313,"2,216,171",3.70%,"16,204","26,995","21,106","53,752",
2010,71,5,California,45.80%,44.00%,35.80%,"10,529,134",10095485,22964703,"28,167,234",17.70%,"165,062",0,"105,133","217,629",
2010,62,6,Colorado,51.70%,50.60%,46.50%,"1,828,323",1787730,3534310,"3,843,619",7.30%,"22,815",0,"11,014","28,322",
2010,1,7,Connecticut,45.90%,45.90%,41.70%,"1,153,872",1153115,2513749,"2,765,843",8.40%,"19,321",0,"2,894","20,768",
2010,11,8,Delaware,48.90%,47.50%,44.10%,"316,754",307402,647260,"696,940",5.50%,"6,598","4,448",560,"11,326",
2010,55,9,District of Columbia,29.60%,28.90%,26.20%,"135,846",132656,458619,"506,765",9.50%,0,0,0,0,
2010,43,10,Florida,42.20%,41.70%,36.30%,"5,473,787",5411106,12967546,"14,916,066",11.20%,"104,306","165,760","4,093","272,113",
2010,44,11,Georgia,40.60%,39.80%,35.50%,"2,623,035",2576161,6466567,"7,255,919",7.40%,"56,432","185,286","25,091","254,264",
2010,82,12,Hawaii,40.30%,39.90%,36.00%,"386,302",382563,959630,"1,062,593",9.10%,"5,912",0,0,"5,912",
2010,63,13,Idaho,42.90%,42.30%,39.40%,"459,079",452535,1069609,"1,147,210",4.70%,"7,431","13,721","3,957","23,131",
2010,21,14,Illinois,43.10%,42.40%,38.30%,"3,792,770",3729989,8800933,"9,735,944",9.10%,"48,418",0,0,"48,418",
2010,22,15,Indiana,38.10%,37.10%,35.60%,"1,791,832",1744481,4697658,"4,896,656",3.50%,"28,028",0,0,"28,028",
2010,31,16,Iowa,50.70%,49.90%,47.90%,"1,133,429",1116063,2234695,"2,328,262",3.20%,"9,455","8,862","3,197","19,916",
2010,32,17,Kansas,42.60%,41.70%,39.20%,"857,658",838790,2011807,"2,137,815",5.20%,"9,051","3,704","5,063","15,287",
2010,51,18,Kentucky,44.30%,42.40%,40.70%,"1,417,995",1356468,3198252,"3,332,204",2.40%,"20,544","25,688","14,628","53,546",
2010,45,19,Louisiana,40.00%,38.90%,36.80%,"1,298,649",1264994,3249634,"3,438,247",2.70%,"39,445","42,599","26,202","95,145",
2010,2,20,Maine,55.90%,55.20%,54.30%,"580,584",572766,1038201,"1,055,605",1.60%,0,0,0,0,
2010,52,21,Maryland,46.70%,46.40%,41.80%,"1,868,179",1857880,4001687,"4,449,617",8.80%,"22,645","26,164","13,195","55,407",
2010,3,22,Massachusetts,49.40%,48.90%,44.60%,"2,319,963",2297039,4694553,"5,152,976",8.70%,"11,312",0,0,"11,312",
2010,23,23,Michigan,45.10%,44.50%,42.70%,"3,268,217",3226088,7245895,"7,555,742",3.50%,"44,113",0,0,"44,113",
2010,33,24,Minnesota,55.80%,55.40%,52.10%,"2,123,369",2107021,3803192,"4,041,199",4.50%,"9,796","42,661","5,807","55,361",
2010,46,25,Mississippi,,37.00%,35.50%,,788549,2129334,"2,220,094",1.80%,"21,067","26,793","6,434","51,077",
2010,34,26,Missouri,45.70%,44.50%,42.40%,"1,997,271",1943899,4366880,"4,581,260",2.60%,"30,623","54,916","19,421","95,250",
2010,64,27,Montana,48.40%,47.50%,46.80%,"367,096",360341,758663,"770,601",1.10%,"3,716",0,0,"3,716",
2010,35,28,Nebraska,38.70%,37.50%,35.50%,"503,514",487988,1301746,"1,375,023",4.70%,"4,587","4,080",941,"9,138",
2010,65,29,Nevada,41.40%,41.30%,35.30%,"723,515",721404,1747288,"2,046,400",13.50%,"12,653","8,067","4,964","23,202",
2010,4,30,New Hampshire,46.10%,45.70%,44.20%,"461,423",456588,999985,"1,033,023",2.90%,"2,761",0,0,"2,761",
2010,12,31,New Jersey,37.70%,36.40%,31.40%,"2,200,974",2121584,5834037,"6,750,869",12.20%,"25,007","57,517","15,563","90,306",
2010,66,32,New Mexico,44.70%,42.80%,38.80%,"630,013",602827,1408990,"1,552,212",7.70%,"6,659","14,855","3,146","23,087",
2010,13,33,New York,36.30%,35.50%,30.80%,"4,763,899",4658586,13141036,"15,111,583",12.50%,"56,656",0,"48,542","80,927",
2010,47,34,North Carolina,39.80%,39.20%,36.40%,"2,700,706",2660079,6787238,"7,310,093",6.10%,"40,116","36,740","3,621","78,667",
2010,36,35,North Dakota,46.60%,46.20%,45.30%,"241,039",238812,516981,"527,497",1.70%,"1,487",0,0,"1,487",
2010,24,36,Ohio,46.10%,44.90%,43.60%,"3,956,028",3852453,8572548,"8,826,908",2.30%,"51,712",0,0,"51,712",
2010,53,37,Oklahoma,39.10%,38.80%,36.40%,"1,043,507",1034767,2667126,"2,839,030",4.40%,"26,252","20,601","2,627","48,167",
2010,72,38,Oregon,53.80%,52.60%,48.70%,"1,487,210",1453548,2762359,"2,984,806",7.00%,"14,014",0,0,"14,014",
2010,14,39,Pennsylvania,42.40%,41.70%,40.10%,"4,055,336",3987551,9566970,"9,946,290",3.30%,"51,264",0,0,"51,264",
2010,5,40,Rhode Island,45.40%,44.80%,41.20%,"346,357",342290,763534,"829,913",7.60%,"3,357",0,0,"3,357",
2010,48,41,South Carolina,40.30%,39.70%,37.60%,"1,365,480",1344198,3388921,"3,571,250",3.80%,"23,578","21,144","6,412","47,928",
2010,37,42,South Dakota,53.90%,52.90%,51.50%,"323,410",317083,599568,"616,113",1.90%,"3,434",0,"2,843","4,856",
2010,54,43,Tennessee,35.10%,34.60%,32.80%,"1,620,619",1601549,4623157,"4,878,724",3.50%,"27,451","52,178","12,157","85,708",
2010,49,44,Texas,32.60%,32.10%,26.90%,"5,066,957",4979870,15523149,"18,487,369",13.50%,"173,649","247,136","104,763","473,167",
2010,67,45,Utah,36.80%,36.30%,33.60%,"653,274",643307,1773205,"1,914,974",7.00%,"6,807",0,0,"6,807",
2010,6,46,Vermont,49.80%,49.40%,48.50%,"243,617",241605,488942,"498,254",1.90%,0,0,0,0,
2010,40,47,Virginia,39.10%,38.70%,35.40%,"2,214,505",2189841,5661979,"6,194,717",7.10%,"37,410","56,654","2,624","95,376",
2010,73,48,Washington,54.30%,53.10%,48.40%,"2,565,589",2511094,4725254,"5,190,736",8.30%,"18,235","15,452","6,956","37,165",
2010,56,49,West Virginia,37.20%,36.80%,36.10%,"536,493",529948,1442011,"1,468,812",0.90%,"6,681","6,650","1,796","14,229",
2010,25,50,Wisconsin,52.40%,52.00%,49.70%,"2,185,021",2171331,4172130,"4,365,214",3.20%,"22,724","22,602","19,572","55,112",
2010,68,51,Wyoming,46.00%,45.50%,43.80%,"190,822",188463,414589,"430,673",2.40%,"2,112","3,231",682,"5,684",
2008,0,0,United States,62.20%,61.60%,56.90%,"132,609,063",131304731,213313508,"230,872,030",8.40%,"1,605,448","2,451,085","627,680","3,144,831","4,972,217"
2008,41,1,Alabama,61.00%,60.80%,58.40%,"2,105,622",2099819,3454510,"3,595,708",2.20%,"30,508","53,252","8,042","61,155","74,079"
2008,81,2,Alaska,68.30%,68.00%,64.30%,"327,341",326197,479429,"507,645",3.70%,"5,014","6,708","1,732","9,234","60,686"
2008,61,3,Arizona,57.40%,56.70%,49.10%,"2,320,851",2293475,4046075,"4,673,718",11.60%,"39,589","82,232","7,534","84,472","90,036"
2008,42,4,Arkansas,52.90%,52.50%,50.00%,"1,095,958",1086617,2071563,"2,174,846",2.90%,"14,716","31,169","19,908","40,255","43,963"
2008,71,5,California,61.70%,60.90%,49.50%,"13,743,177",13561900,22261504,"27,411,094",17.90%,"173,670",0,"120,753","234,047","486,207"
2008,62,6,Colorado,71.60%,71.00%,64.70%,"2,422,236",2401361,3382959,"3,708,955",8.00%,"23,274",0,"11,654","29,101","71,854"
2008,1,7,Connecticut,,66.60%,60.40%,,1646792,2471082,"2,725,917",8.50%,"20,661",0,"2,328","21,825","45,799"
2008,11,8,Delaware,65.80%,65.60%,60.60%,"413,562",412398,628200,"680,493",5.30%,"7,075","17,216",551,"15,959","12,658"
2008,55,9,District of Columbia,61.70%,61.50%,55.20%,"266,871",265853,432566,"481,971",10.30%,0,0,0,0,"6,916"
2008,43,10,Florida,66.60%,66.10%,57.60%,"8,453,743",8390744,12687407,"14,558,436",11.20%,"102,388","279,760","4,528","244,532","451,907"
2008,44,11,Georgia,62.70%,62.50%,55.60%,"3,940,705",3924440,6281872,"7,063,638",7.30%,"52,719","397,081","23,448","262,984","141,001"
2008,82,12,Hawaii,49.00%,48.80%,43.80%,"456,064",453568,930067,"1,036,088",9.70%,"5,955",0,0,"5,955","20,090"
2008,63,13,Idaho,64.80%,63.60%,58.60%,"667,506",655032,1029416,"1,117,842",4.90%,"7,290","49,513","3,361","33,727","26,779"
2008,21,14,Illinois,64.30%,63.60%,57.40%,"5,578,195",5523051,8681138,"9,615,700",9.20%,"45,474",0,0,"45,474","200,530"
2008,22,15,Indiana,60.30%,59.10%,57.00%,"2,805,986",2751054,4653019,"4,826,231",3.00%,"28,322",0,0,"28,322","89,605"
2008,31,16,Iowa,69.70%,69.40%,66.90%,"1,543,662",1537123,2216094,"2,298,515",2.60%,"8,766","22,958","3,159","21,825","43,108"
2008,32,17,Kansas,63.50%,62.00%,58.80%,"1,264,208",1235872,1991759,"2,100,084",4.20%,"8,539","16,263","4,958","19,150","42,495"
2008,51,18,Kentucky,59.00%,57.90%,55.70%,"1,858,578",1826508,3152629,"3,277,617",2.20%,"21,706","51,035","12,277","53,362","58,518"
2008,45,19,Louisiana,61.80%,61.20%,58.70%,"1,979,852",1960761,3205794,"3,342,279",2.00%,"38,381","40,025","24,636","70,712","68,285"
2008,2,20,Maine,71.80%,70.60%,69.60%,"744,456",731163,1036242,"1,049,816",1.30%,0,0,0,0,"21,362"
2008,52,21,Maryland,67.80%,67.00%,60.60%,"2,661,905",2631596,3925117,"4,342,850",7.80%,"23,324","96,360","13,220","78,114","77,074"
2008,3,22,Massachusetts,67.30%,66.80%,60.90%,"3,102,995",3080985,4612550,"5,058,035",8.60%,"11,408",0,0,"11,408","77,830"
2008,23,23,Michigan,69.70%,69.20%,66.40%,"5,039,080",5001766,7229512,"7,528,460",3.30%,"48,738",0,0,"48,738","163,673"
2008,33,24,Minnesota,78.10%,77.80%,73.20%,"2,921,147",2910369,3740142,"3,975,974",4.00%,"9,910","127,627","5,081","76,264","70,063"
2008,46,25,Mississippi,,61.00%,58.90%,,1289856,2113347,"2,190,402",1.90%,"22,754","22,267","2,922","35,349","45,082"
2008,34,26,Missouri,68.20%,67.60%,64.90%,"2,950,504",2925205,4327572,"4,507,688",2.50%,"30,186","57,360","20,683","69,208","96,710"
2008,64,27,Montana,67.10%,66.30%,65.10%,"497,599",491960,741853,"755,384",1.30%,"3,545",0,0,"3,545","22,898"
2008,35,28,Nebraska,63.70%,62.90%,59.40%,"811,923",801281,1274719,"1,348,048",4.30%,"4,520","19,606",846,"14,746","27,311"
2008,65,29,Nevada,57.20%,57.00%,48.40%,"970,019",967848,1696831,"2,000,277",14.10%,"12,743","13,337","3,908","21,366","45,656"
2008,4,30,New Hampshire,72.50%,71.70%,69.60%,"719,643",710970,992226,"1,021,787",2.60%,"2,702",0,0,"2,702","25,558"
2008,12,31,New Jersey,67.70%,67.00%,58.20%,"3,910,220",3868237,5776527,"6,651,284",11.70%,"25,953","128,737","15,849","98,246","110,559"
2008,66,32,New Mexico,61.20%,60.90%,55.10%,"833,365",830158,1362629,"1,505,830",8.30%,"6,402","20,883","3,724","18,706","31,444"
2008,13,33,New York,59.60%,59.00%,51.40%,"7,721,718",7640640,12948969,"14,876,971",12.40%,"60,347",0,"52,225","86,460","263,787"
2008,47,34,North Carolina,66.10%,65.50%,60.70%,"4,354,571",4310789,6584302,"7,096,503",5.90%,"39,482","109,678","3,409","96,026","133,483"
2008,36,35,North Dakota,63.60%,62.70%,61.70%,"321,133",316621,504762,"512,768",1.30%,"1,452",0,0,"1,452","11,179"
2008,24,36,Ohio,67.80%,66.90%,65.10%,"5,773,777",5698260,8513079,"8,757,453",2.20%,"51,686",0,0,"51,686","174,703"
2008,53,37,Oklahoma,56.30%,55.80%,52.80%,"1,474,694",1462661,2619121,"2,770,219",4.00%,"25,864","27,940","3,073","41,371","57,046"
2008,72,38,Oregon,68.30%,67.70%,62.70%,"1,845,251",1827864,2700327,"2,916,246",6.90%,"14,167",0,0,"14,167","63,480"
2008,14,39,Pennsylvania,64.20%,63.60%,61.30%,"6,071,357",6012692,9457942,"9,813,664",3.10%,"49,215",0,0,"49,215","203,791"
2008,5,40,Rhode Island,62.30%,61.80%,57.10%,"475,428",471766,763608,"825,786",7.00%,"4,045",0,0,"4,045","13,827"
2008,48,41,South Carolina,58.20%,58.00%,55.30%,"1,927,153",1920969,3311044,"3,473,488",3.40%,"24,326","41,254","1,947","45,927","72,241"
2008,37,42,South Dakota,65.60%,64.70%,63.40%,"387,449",381975,590720,"602,539",1.20%,"3,342",0,"2,720","4,702","20,144"
2008,54,43,Tennessee,57.40%,57.00%,54.50%,"2,618,238",2599749,4563192,"4,771,926",3.10%,"27,228","58,109","10,578","61,572","127,930"
